,Taupo
u10.0km_u0deg,0.043524174784594714
u10.0km_u10deg,202.85685206211357
u10.0km_u15deg,225.53750680034102
u10.0km_u20deg,238.7902035062998
u10.0km_u25deg,247.4036376961711
u10.0km_u30deg,252.90405709906804
u10.0km_u35deg,255.9076396751554
u10.0km_u40deg,257.4622817468661
u10.0km_u45deg,258.1570104796183
u10.0km_u50deg,258.420849882003
u10.0km_u55deg,258.49318291533547
u10.0km_u5deg,151.13956226128164
u10.0km_u60deg,258.51059258524936
u10.0km_u65deg,258.5195046781814
u10.0km_u70deg,258.51971193615657
u10.0km_u75deg,258.51971193615657
u10.0km_u80deg,258.51971193615657
u10.0km_u85deg,258.51971193615657
u10.0km_u90deg,258.51971193615657
u15.0km_u0deg,0.08145238423974153
u15.0km_u10deg,429.63832122939334
u15.0km_u15deg,479.5132948889859
u15.0km_u20deg,509.178543390265
u15.0km_u25deg,528.5650398712241
u15.0km_u30deg,541.0119175697424
u15.0km_u35deg,547.8986855685163
u15.0km_u40deg,551.3596864957923
u15.0km_u45deg,552.9578527422875
u15.0km_u50deg,553.6362080950017
u15.0km_u55deg,553.8745547664412
u15.0km_u5deg,316.59277480339034
u15.0km_u60deg,553.9520692491528
u15.0km_u65deg,553.9748676264209
u15.0km_u70deg,553.9756966583216
u15.0km_u75deg,553.9756966583216
u15.0km_u80deg,553.9756966583216
u15.0km_u85deg,553.9756966583216
u15.0km_u90deg,553.9756966583216
u20.0km_u0deg,0.12228220534719468
u20.0km_u10deg,752.4873852711064
u20.0km_u15deg,840.5685013305417
u20.0km_u20deg,892.8943005464573
u20.0km_u25deg,927.1550801310641
u20.0km_u30deg,949.5014277553508
u20.0km_u35deg,962.0687223374399
u20.0km_u40deg,968.2794148212264
u20.0km_u45deg,971.0019555829904
u20.0km_u50deg,972.0614583520324
u20.0km_u55deg,972.4003251414268
u20.0km_u5deg,557.6918321530253
u20.0km_u60deg,972.5035396130588
u20.0km_u65deg,972.5317266976813
u20.0km_u70deg,972.5325557295819
u20.0km_u75deg,972.5325557295819
u20.0km_u80deg,972.5325557295819
u20.0km_u85deg,972.5325557295819
u20.0km_u90deg,972.5325557295819
u25.0km_u0deg,0.2041491055372657
u25.0km_u10deg,1188.003957192122
u25.0km_u15deg,1325.6344446321662
u25.0km_u20deg,1407.6435237932
u25.0km_u25deg,1460.7921371705197
u25.0km_u30deg,1495.1080473765203
u25.0km_u35deg,1514.3509140806902
u25.0km_u40deg,1523.837940635881
u25.0km_u45deg,1528.0384380185446
u25.0km_u50deg,1529.7043776229189
u25.0km_u55deg,1530.1930919283573
u25.0km_u5deg,891.2113657881197
u25.0km_u60deg,1530.3228354208104
u25.0km_u65deg,1530.3539241170852
u25.0km_u70deg,1530.3547531489858
u25.0km_u75deg,1530.3547531489858
u25.0km_u80deg,1530.3547531489858
u25.0km_u85deg,1530.3547531489858
u25.0km_u90deg,1530.3547531489858
u30.0km_u0deg,0.32767485873544877
u30.0km_u10deg,1764.2453781223912
u30.0km_u15deg,1965.3718333498543
u30.0km_u20deg,2087.8946652062154
u30.0km_u25deg,2168.2332450874214
u30.0km_u30deg,2220.2865000659954
u30.0km_u35deg,2249.698893837574
u30.0km_u40deg,2264.259181108847
u30.0km_u45deg,2270.769154108771
u30.0km_u50deg,2273.369827181138
u30.0km_u55deg,2274.181034895933
u30.0km_u5deg,1343.491999030335
u30.0km_u60deg,2274.422490437
u30.0km_u65deg,2274.4900565369035
u30.0km_u70deg,2274.4950307283075
u30.0km_u75deg,2274.4950307283075
u30.0km_u80deg,2274.4950307283075
u30.0km_u85deg,2274.4950307283075
u30.0km_u90deg,2274.4950307283075
u35.0km_u0deg,0.48477640391031923
u35.0km_u10deg,2455.405335800227
u35.0km_u15deg,2752.064867584174
u35.0km_u20deg,2938.609895226897
u35.0km_u25deg,3062.005697674652
u35.0km_u30deg,3141.7349391088737
u35.0km_u35deg,3186.7271221315605
u35.0km_u40deg,3209.0175101025525
u35.0km_u45deg,3219.009831601195
u35.0km_u50deg,3223.0289782555897
u35.0km_u55deg,3224.3691083230046
u35.0km_u5deg,1870.3028073997648
u35.0km_u60deg,3224.7900492705644
u35.0km_u65deg,3224.915854861489
u35.0km_u70deg,3224.9355443691297
u35.0km_u75deg,3224.935751627105
u35.0km_u80deg,3224.935751627105
u35.0km_u85deg,3224.935751627105
u35.0km_u90deg,3224.935751627105
u40.0km_u0deg,0.7504811280715118
u40.0km_u10deg,3220.2865407282097
u40.0km_u15deg,3642.2857475089813
u40.0km_u20deg,3917.4546998480964
u40.0km_u25deg,4104.627719155568
u40.0km_u30deg,4229.126755805125
u40.0km_u35deg,4302.3791855154495
u40.0km_u40deg,4339.883552411384
u40.0km_u45deg,4356.842436229239
u40.0km_u50deg,4363.524226090574
u40.0km_u55deg,4365.649034851964
u40.0km_u5deg,2435.195817899889
u40.0km_u60deg,4366.220030573542
u40.0km_u65deg,4366.357235353102
u40.0km_u70deg,4366.377961150618
u40.0km_u75deg,4366.378168408593
u40.0km_u80deg,4366.378168408593
u40.0km_u85deg,4366.378168408593
u40.0km_u90deg,4366.378168408593
u45.0km_u0deg,0.9378423376204338
u45.0km_u10deg,4050.4683086333707
u45.0km_u15deg,4625.670745334139
u45.0km_u20deg,5010.705699502255
u45.0km_u25deg,5279.160736993884
u45.0km_u30deg,5463.5994018350075
u45.0km_u35deg,5578.860743273497
u45.0km_u40deg,5642.246449818128
u45.0km_u45deg,5672.155019182251
u45.0km_u50deg,5683.986133436554
u45.0km_u55deg,5687.580608499837
u45.0km_u5deg,3023.264829698884
u45.0km_u60deg,5688.369639611289
u45.0km_u65deg,5688.531300831917
u45.0km_u70deg,5688.561353238316
u45.0km_u75deg,5688.56632742972
u45.0km_u80deg,5688.56674194567
u45.0km_u85deg,5688.56674194567
u45.0km_u90deg,5688.56674194567
u5.0km_u0deg,0.006217739254942102
u5.0km_u10deg,54.71983608704347
u5.0km_u15deg,58.61131182873656
u5.0km_u20deg,60.30585303368345
u5.0km_u25deg,61.18960103978589
u5.0km_u30deg,61.669403252292256
u5.0km_u35deg,61.84391446738096
u5.0km_u40deg,61.89199831761918
u5.0km_u45deg,61.90816443968203
u5.0km_u50deg,61.910858793359175
u5.0km_u55deg,61.910858793359175
u5.0km_u5deg,42.72519529033465
u5.0km_u60deg,61.910858793359175
u5.0km_u65deg,61.910858793359175
u5.0km_u70deg,61.910858793359175
u5.0km_u75deg,61.910858793359175
u5.0km_u80deg,61.910858793359175
u5.0km_u85deg,61.910858793359175
u5.0km_u90deg,61.910858793359175
u50.0km_u0deg,1.1322503183249568
u50.0km_u10deg,4871.006362954116
u50.0km_u15deg,5630.86860875551
u50.0km_u20deg,6159.858320217846
u50.0km_u25deg,6542.322860977969
u50.0km_u30deg,6814.69258710451
u50.0km_u35deg,6992.577547512949
u50.0km_u40deg,7094.850031647864
u50.0km_u45deg,7145.183874464472
u50.0km_u50deg,7165.566038258122
u50.0km_u55deg,7171.748129141336
u50.0km_u5deg,3576.1596760167217
u50.0km_u60deg,7173.001210859182
u50.0km_u65deg,7173.205567222694
u50.0km_u70deg,7173.237277692894
u50.0km_u75deg,7173.242251884299
u50.0km_u80deg,7173.242666400249
u50.0km_u85deg,7173.242666400249
u50.0km_u90deg,7173.242666400249
u55.0km_u0deg,1.5080090272986246
u55.0km_u10deg,5677.609427314661
u55.0km_u15deg,6617.654295437171
u55.0km_u20deg,7301.485196597231
u55.0km_u25deg,7821.586235278678
u55.0km_u30deg,8212.481823210526
u55.0km_u35deg,8487.743627122516
u55.0km_u40deg,8658.801302571053
u55.0km_u45deg,8747.57507478349
u55.0km_u50deg,8784.593007211713
u55.0km_u55deg,8795.916753942814
u55.0km_u5deg,4130.621392626805
u55.0km_u60deg,8798.01938610086
u55.0km_u65deg,8798.27825131184
u55.0km_u70deg,8798.310169040016
u55.0km_u75deg,8798.31514323142
u55.0km_u80deg,8798.31555774737
u55.0km_u85deg,8798.31555774737
u55.0km_u90deg,8798.31555774737
u60.0km_u0deg,1.7322621564268696
u60.0km_u10deg,6444.577512794577
u60.0km_u15deg,7608.695817380864
u60.0km_u20deg,8476.059044256654
u60.0km_u25deg,9156.011734185431
u60.0km_u30deg,9687.197551152614
u60.0km_u35deg,10082.596440368841
u60.0km_u40deg,10343.664596367624
u60.0km_u45deg,10485.995694684405
u60.0km_u50deg,10548.09578000909
u60.0km_u55deg,10568.056381081255
u60.0km_u5deg,4591.993604207596
u60.0km_u60deg,10571.80712865781
u60.0km_u65deg,10572.208380097729
u60.0km_u70deg,10572.244857501359
u60.0km_u75deg,10572.249831692763
u60.0km_u80deg,10572.250246208712
u60.0km_u85deg,10572.250246208712
u60.0km_u90deg,10572.250246208712
u65.0km_u0deg,2.0489523424785876
u65.0km_u10deg,7226.571179700011
u65.0km_u15deg,8629.995552892782
u65.0km_u20deg,9701.073058073942
u65.0km_u25deg,10560.606700421933
u65.0km_u30deg,11249.517909069233
u65.0km_u35deg,11780.999897682925
u65.0km_u40deg,12145.172678586909
u65.0km_u45deg,12351.798931443343
u65.0km_u50deg,12446.34773987577
u65.0km_u55deg,12478.458632483993
u65.0km_u5deg,5067.415419408855
u65.0km_u60deg,12485.220631181717
u65.0km_u65deg,12485.99805584656
u65.0km_u70deg,12486.059196949233
u65.0km_u75deg,12486.068938074066
u65.0km_u80deg,12486.069352590017
u65.0km_u85deg,12486.069352590017
u65.0km_u90deg,12486.069352590017
u70.0km_u0deg,2.3134135187887916
u70.0km_u10deg,8111.355475678272
u70.0km_u15deg,9758.733884828573
u70.0km_u20deg,11043.080468228172
u70.0km_u25deg,12091.95152491828
u70.0km_u30deg,12945.73893990483
u70.0km_u35deg,13614.464879834884
u70.0km_u40deg,14080.480913607216
u70.0km_u45deg,14350.528106864062
u70.0km_u50deg,14477.405014262682
u70.0km_u55deg,14522.110974021667
u70.0km_u5deg,5632.771236967522
u70.0km_u60deg,14532.075108435687
u70.0km_u65deg,14533.322179672254
u70.0km_u70deg,14533.414409471201
u70.0km_u75deg,14533.424150596034
u70.0km_u80deg,14533.424565111984
u70.0km_u85deg,14533.424565111984
u70.0km_u90deg,14533.424565111984
